	k	i	s
90	10	6	-2.573049
89	10	5	-0.7301479999999999
88	10	4	-1.318402
87	10	3	-1.6592630000000002
86	10	2	-1.6807349999999999
85	10	1	-3.6028339999999996
84	9	9	-1.3216620000000001
83	9	8	-1.879087
82	9	7	-1.830287
81	9	6	-0.8234889999999999
80	9	5	-0.42018900000000003
79	9	4	-1.955768
78	9	3	-1.461279
77	9	2	-3.1490099999999996
76	9	1	-1.200059
75	8	7	-2.332013
74	8	6	0.20517800000000003
73	8	5	-2.84539
72	8	4	-2.2695689999999997
71	8	3	0.580946
70	8	2	0.577523
69	8	1	-10.574053999999999
68	7	9	-4.042781
67	7	8	-8.990708999999999
66	7	7	-4.068448
65	7	6	-2.684932
64	7	5	-2.5972169999999997
63	7	4	-2.007149
62	7	3	-1.268477
61	7	2	-1.759437
60	7	1	-1.0368600000000001
59	6	8	0.05631799999999999
58	6	7	-0.192457
57	6	6	0.12208800000000002
56	6	5	2.073714
55	6	4	-1.234133
54	6	3	-1.627086
53	6	2	1.203805
52	6	1	0.8351860000000001
51	5	14	2.147297
50	5	13	3.069876
49	5	12	4.988297
48	5	11	1.043903
47	5	10	1.1529479999999999
46	5	9	1.507125
45	5	8	1.7154200000000002
44	5	7	0.302713
43	5	6	0.323218
42	5	5	6.334404999999999
41	5	4	5.850304
40	5	3	5.6255500000000005
39	5	2	3.748528
38	5	1	1.244061
37	4	9	-1.9554470000000002
36	4	8	-1.575959
35	4	7	0.19150799999999998
34	4	6	3.4056870000000004
33	4	5	9.221603
32	4	4	-0.227448
31	4	3	25.561582
30	4	2	4.905786
29	4	1	9.465956
28	3	10	0.026014
27	3	9	21.136042
26	3	8	1.594586
25	3	7	22.288408
24	3	6	1.068276
23	3	5	-0.278563
22	3	4	1.383029
21	3	3	0.519613
20	3	2	6.876029000000001
19	3	1	1.960562
18	2	13	-0.268347
17	2	12	-0.674002
16	2	11	-0.690234
15	2	10	-0.9624790000000001
14	2	9	-1.373005
13	2	8	-1.704134
12	2	7	-2.422857
11	2	6	-2.46564
10	2	5	-2.3776080000000004
9	2	4	-1.962074
8	2	3	-1.7313150000000002
7	2	2	-1.20203
6	2	1	-4.812551999999999
5	1	6	0.077602
4	1	5	1.0912879999999998
3	1	4	0.459007
2	1	3	0.24980300000000003
1	1	2	10.221936
0	1	1	1.26021
