	k	i	s
90	10	6	1.5329030000000001
89	10	5	4.111527
88	10	4	0.06828200000000001
87	10	3	3.1399730000000003
86	10	2	-1.2211530000000002
85	10	1	-0.034214999999999995
84	9	9	1.937609
83	9	8	-0.13963299999999998
82	9	7	-0.369205
81	9	6	0.48921800000000004
80	9	5	4.248203
79	9	4	0.750208
78	9	3	7.057342
77	9	2	2.7854240000000003
76	9	1	4.2883379999999995
75	8	7	2.970657
74	8	6	4.1432080000000004
73	8	5	5.539273000000001
72	8	4	5.922003
71	8	3	12.833587000000001
70	8	2	7.987678
69	8	1	2.526839
68	7	9	0.42545299999999997
67	7	8	5.618060999999999
66	7	7	2.3338419999999998
65	7	6	4.456335
64	7	5	2.9067819999999998
63	7	4	1.321141
62	7	3	28.560194
61	7	2	16.451087
60	7	1	7.3022089999999995
59	6	8	3.297337
58	6	7	19.517845
57	6	6	19.025283
56	6	5	5.456707
55	6	4	24.99778
54	6	3	13.837523000000001
53	6	2	7.681463000000001
52	6	1	6.758723
51	5	14	1.206208
50	5	13	3.114554
49	5	12	3.5142919999999997
48	5	11	2.514839
47	5	10	2.63935
46	5	9	4.685392
45	5	8	4.920783999999999
44	5	7	3.227067
43	5	6	3.4037910000000005
42	5	5	2.310181
41	5	4	2.565962
40	5	3	2.634847
39	5	2	2.946064
38	5	1	8.887606
37	4	9	0.996132
36	4	8	2.446807
35	4	7	-6.691545
34	4	6	-7.974053
33	4	5	2.622486
32	4	4	-0.47920799999999997
31	4	3	22.058689
30	4	2	-5.33047
29	4	1	16.564028
28	3	10	-0.133878
27	3	9	-9.707188
26	3	8	-6.039251
25	3	7	1.415152
24	3	6	4.354233
23	3	5	5.958613
22	3	4	17.779429999999998
21	3	3	12.976511
20	3	2	21.724556
19	3	1	8.99156
18	2	13	0.10851
17	2	12	0.7972279999999999
16	2	11	0.838727
15	2	10	-0.39568000000000003
14	2	9	-0.694824
13	2	8	-2.936252
12	2	7	-2.7823729999999998
11	2	6	-4.041769
10	2	5	-3.936014
9	2	4	-3.604832
8	2	3	-3.4672160000000005
7	2	2	-5.262182
6	2	1	-5.173019
5	1	6	-0.745648
4	1	5	-2.9033330000000004
3	1	4	-4.368682
2	1	3	-6.622342
1	1	2	-2.550938
0	1	1	-15.125298
