k	j	i	s	
10	132	6	16.487108	
10	131	6	-5.701984	
10	130	5	14.574467	
10	129	5	-4.604405	
10	128	4	17.483881	
10	127	4	-3.045552	
10	127	3	-3.131464	
10	126	2	17.536123	
10	125	2	-4.428647	
10	124	1	-6.521522	
9	124	9	-7.787862	
9	123	9	-3.564320	
9	122	8	-9.272597	
9	121	8	-0.941021	
9	120	7	-3.923158	
9	119	7	-4.133434	
9	119	6	-4.296807	
9	118	5	-7.683659	
9	117	5	-4.187376	
9	116	4	-3.101065	
9	115	4	-0.733145	
9	114	3	-6.993651	
9	113	3	-0.594570	
9	113	2	-1.102575	
9	112	1	-4.843992	
8	112	7	-1.196286	
8	111	7	3.183992	
8	110	6	-0.107104	
8	110	5	0.127803	
8	109	4	-0.180756	
8	108	3	-0.472863	
8	107	2	-3.178921	
8	106	1	-2.718163	
7	106	9	0.953649	
7	105	9	1.550270	
7	104	8	3.068420	
7	103	7	5.132698	
7	102	6	8.598075	
7	101	6	2.834629	
7	100	5	3.496763	
7	99	4	6.623975	
7	98	3	11.510193	
7	97	3	3.470666	
7	96	2	2.868281	
7	95	2	0.832568	
7	94	1	4.543261	
6	94	8	1.977210	
6	93	8	13.165156	
6	92	7	7.318355	
6	91	6	10.641543	
6	90	5	9.631916	
6	89	4	12.933726	
6	88	3	12.725858	
6	87	3	12.861006	
6	86	2	12.472667	
6	85	2	5.484549	
6	85	1	5.245933	
5	85	14	3.119637	
5	84	13	2.173879	
5	84	12	2.417808	
5	83	11	3.248730	
5	83	10	3.356808	
5	82	9	3.287934	
5	81	8	-0.532681	
5	80	7	3.058741	
5	79	6	2.831336	
5	78	5	7.983665	
5	77	4	9.125246	
5	76	3	3.686481	
5	76	2	3.618403	
5	75	1	0.062610	
4	75	9	1.199610	
4	75	8	-1.090640	
4	74	7	19.837154	
4	73	7	2.779448	
4	73	6	-1.851646	
4	72	5	0.273619	
4	72	4	0.432655	
4	71	3	-13.351519	
4	71	2	-7.771629	
4	70	1	-41.930595	
3	70	10	2.264508	
3	70	9	10.666648	
3	69	8	-1.543096	
3	68	7	25.235170	
3	67	6	3.424263	
3	67	5	4.429080	
3	66	4	2.838772	
3	66	3	1.624545	
3	65	2	4.578916	
3	65	1	1.265941	
2	65	13	3.629427	
2	64	12	1.212369	
2	64	11	0.844863	
2	63	10	2.024436	
2	63	9	1.615503	
2	62	8	1.987578	
2	62	7	1.832515	
2	61	6	2.681829	
2	61	5	2.399589	
2	60	4	2.609559	
2	60	3	2.198478	
2	59	2	2.125211	
2	59	1	2.403508	
1	59	6	2.447442	
1	58	5	2.478472	
1	58	4	3.667570	
1	57	3	8.919786	
1	56	2	9.878119	
1	55	2	6.149854	
1	54	1	0.012547	
